disagreement_id,kind,session_id,event_name,reference_frame,decision,consensus_reference_frame,consensus_x_px,consensus_y_px,adjudication_status,reason,adjudicator_id
D0023,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,impact,,mean,152,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0024,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,top_backswing,,mean,126,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0025,event,3d47c3b9-21d9-4794-995d-52804115fb8b,address,,mean,4,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0026,event,3d47c3b9-21d9-4794-995d-52804115fb8b,downswing_transition,,mean,30,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0027,event,3d47c3b9-21d9-4794-995d-52804115fb8b,impact,,mean,35,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0028,event,3d47c3b9-21d9-4794-995d-52804115fb8b,top_backswing,,mean,28,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0029,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,address,,mean,0,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0030,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,downswing_transition,,mean,41,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0031,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,impact,,mean,56,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0032,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,top_backswing,,mean,39,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0033,event,48c9026f-11c4-410d-82ec-f33d477d9db6,address,,mean,34,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0034,event,48c9026f-11c4-410d-82ec-f33d477d9db6,downswing_transition,,mean,184,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0035,event,48c9026f-11c4-410d-82ec-f33d477d9db6,impact,,mean,236,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0036,event,48c9026f-11c4-410d-82ec-f33d477d9db6,top_backswing,,mean,180,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0037,event,511a396b-aa38-4056-a980-76723ed0c05f,address,,mean,56,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0038,event,511a396b-aa38-4056-a980-76723ed0c05f,downswing_transition,,mean,132,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0039,event,511a396b-aa38-4056-a980-76723ed0c05f,impact,,mean,143,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0040,event,511a396b-aa38-4056-a980-76723ed0c05f,top_backswing,,mean,130,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0041,event,57660e2f-8425-445f-bca0-17c6e557f1b0,address,,mean,25,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0042,event,57660e2f-8425-445f-bca0-17c6e557f1b0,downswing_transition,,mean,180,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0043,event,57660e2f-8425-445f-bca0-17c6e557f1b0,impact,,mean,242,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0044,event,57660e2f-8425-445f-bca0-17c6e557f1b0,top_backswing,,mean,177,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0045,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,address,,mean,3,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0046,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,downswing_transition,,mean,48,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0047,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,impact,,mean,60,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0048,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,top_backswing,,mean,40,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0049,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,address,,mean,2,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0050,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,downswing_transition,,mean,38,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0051,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,impact,,mean,44,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0052,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,top_backswing,,mean,36,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0053,event,81681211-21c8-4d55-9d89-095b3a80d022,address,,mean,58,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0054,event,81681211-21c8-4d55-9d89-095b3a80d022,downswing_transition,,mean,422,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0055,event,81681211-21c8-4d55-9d89-095b3a80d022,impact,,mean,532,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0056,event,81681211-21c8-4d55-9d89-095b3a80d022,top_backswing,,mean,412,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0057,event,82b83897-42aa-447f-82ea-5e471706e7c5,address,,mean,4,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0058,event,82b83897-42aa-447f-82ea-5e471706e7c5,downswing_transition,,mean,36,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0059,event,82b83897-42aa-447f-82ea-5e471706e7c5,impact,,mean,48,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0060,event,82b83897-42aa-447f-82ea-5e471706e7c5,top_backswing,,mean,32,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0061,event,82f22494-5871-41de-aebc-9d2012ce6571,address,,mean,0,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0062,event,82f22494-5871-41de-aebc-9d2012ce6571,downswing_transition,,mean,24,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0063,event,82f22494-5871-41de-aebc-9d2012ce6571,impact,,mean,31,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0064,event,82f22494-5871-41de-aebc-9d2012ce6571,top_backswing,,mean,22,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0065,event,b95e3543-d28d-49db-be02-bbee7efb8425,address,,mean,4,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0066,event,b95e3543-d28d-49db-be02-bbee7efb8425,downswing_transition,,mean,28,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0067,event,b95e3543-d28d-49db-be02-bbee7efb8425,impact,,mean,38,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0068,event,b95e3543-d28d-49db-be02-bbee7efb8425,top_backswing,,mean,22,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0069,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,address,,mean,63,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0070,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,downswing_transition,,mean,132,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0071,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,impact,,mean,147,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0072,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,top_backswing,,mean,130,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0073,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,address,,mean,27,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0074,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,downswing_transition,,mean,216,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0075,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,impact,,mean,291,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0076,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,top_backswing,,mean,211,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0077,event,dfd57aa0-581d-4580-bc43-2a329277309b,address,,mean,60,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0078,event,dfd57aa0-581d-4580-bc43-2a329277309b,downswing_transition,,mean,158,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0079,event,dfd57aa0-581d-4580-bc43-2a329277309b,impact,,mean,183,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0080,event,dfd57aa0-581d-4580-bc43-2a329277309b,top_backswing,,mean,138,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0081,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,address,,mean,0,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0082,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,downswing_transition,,mean,29,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0083,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,impact,,mean,45,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0084,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,top_backswing,,mean,28,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0085,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,address,,mean,0,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0086,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,downswing_transition,,mean,33,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0087,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,impact,,mean,44,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0088,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,top_backswing,,mean,30,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0089,event,eb859af6-2991-42e4-9345-05d3baf63c6e,address,,mean,2,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0090,event,eb859af6-2991-42e4-9345-05d3baf63c6e,downswing_transition,,mean,172,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0091,event,eb859af6-2991-42e4-9345-05d3baf63c6e,impact,,mean,242,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0092,event,eb859af6-2991-42e4-9345-05d3baf63c6e,top_backswing,,mean,164,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0093,event,ed241630-f662-4957-b17f-1f485cf04683,address,,mean,6,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0094,event,ed241630-f662-4957-b17f-1f485cf04683,downswing_transition,,mean,60,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0095,event,ed241630-f662-4957-b17f-1f485cf04683,impact,,mean,66,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0096,event,ed241630-f662-4957-b17f-1f485cf04683,top_backswing,,mean,57,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0097,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,address,,mean,10,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0098,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,downswing_transition,,mean,50,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0099,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,impact,,mean,56,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0100,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,top_backswing,,mean,48,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0101,point,2850af90-f8fc-4050-a178-b659098e69df,,33,mean,33,390.0,668.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0102,point,2850af90-f8fc-4050-a178-b659098e69df,,44,mean,44,39.0,446.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0103,point,2850af90-f8fc-4050-a178-b659098e69df,,52,mean,52,212.5,345.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0104,point,2850af90-f8fc-4050-a178-b659098e69df,,56,mean,56,68.0,373.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0105,point,2850af90-f8fc-4050-a178-b659098e69df,,59,mean,59,361.5,607.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0106,point,2850af90-f8fc-4050-a178-b659098e69df,,63,mean,63,117.0,389.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0107,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,100,mean,100,904.5,1873.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0108,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,107,mean,107,356.0,1498.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0109,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,122,mean,122,224.0,930.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0110,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,123,mean,123,312.0,882.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0111,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,132,mean,132,674.0,1570.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0112,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,134,mean,134,43.5,591.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0113,point,32fec03e-0046-4581-885b-ef0d7f174e53,,71,mean,71,523.0,848.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0114,point,32fec03e-0046-4581-885b-ef0d7f174e53,,82,mean,82,210.0,509.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0115,point,32fec03e-0046-4581-885b-ef0d7f174e53,,89,mean,89,260.0,151.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0116,point,32fec03e-0046-4581-885b-ef0d7f174e53,,95,mean,95,101.0,306.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0117,point,32fec03e-0046-4581-885b-ef0d7f174e53,,97,mean,97,505.0,968.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0118,point,32fec03e-0046-4581-885b-ef0d7f174e53,,99,mean,99,473.5,583.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0119,point,332a7a76-cfa3-449e-9150-f93050fed050,,8,mean,8,1264.0,969.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0120,point,332a7a76-cfa3-449e-9150-f93050fed050,,43,mean,43,588.0,171.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0121,point,332a7a76-cfa3-449e-9150-f93050fed050,,53,mean,53,640.5,259.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0122,point,332a7a76-cfa3-449e-9150-f93050fed050,,62,mean,62,1282.5,1016.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0123,point,332a7a76-cfa3-449e-9150-f93050fed050,,67,mean,67,991.0,531.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0124,point,332a7a76-cfa3-449e-9150-f93050fed050,,69,mean,69,509.5,36.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0125,point,36b05de8-5e98-425f-8b72-8e505337e150,,1,mean,1,988.5,1640.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0126,point,36b05de8-5e98-425f-8b72-8e505337e150,,61,mean,61,258.0,957.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0127,point,36b05de8-5e98-425f-8b72-8e505337e150,,69,mean,69,1031.5,1733.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0128,point,36b05de8-5e98-425f-8b72-8e505337e150,,73,mean,73,991.0,1688.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0129,point,36b05de8-5e98-425f-8b72-8e505337e150,,80,mean,80,305.0,689.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0130,point,36b05de8-5e98-425f-8b72-8e505337e150,,83,mean,83,460.5,807.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0131,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,59,mean,59,523.0,1670.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0132,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,90,mean,90,39.5,1210.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0133,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,127,mean,127,696.0,620.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0134,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,145,mean,145,188.5,1512.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0135,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,148,mean,148,799.5,1629.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0136,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,160,mean,160,834.5,538.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0137,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,1,mean,1,1183.0,940.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0138,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,17,mean,17,509.5,90.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0139,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,26,mean,26,736.0,127.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0140,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,36,mean,36,892.0,735.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0141,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,37,mean,37,1157.0,1000.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0142,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,40,mean,40,974.5,604.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0143,point,42f8729a-ed28-45a2-bf9b-397d2d698bb0,,1,mean,1,1273.5,960.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0144,point,42f8729a-ed28-45a2-bf9b-397d2d698bb0,,24,mean,24,665.5,314.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0145,point,42f8729a-ed28-45a2-bf9b-397d2d698bb0,,43,mean,43,840.0,315.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0146,point,42f8729a-ed28-45a2-bf9b-397d2d698bb0,,46,mean,46,872.5,405.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0147,point,42f8729a-ed28-45a2-bf9b-397d2d698bb0,,58,mean,58,1227.5,989.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0148,point,42f8729a-ed28-45a2-bf9b-397d2d698bb0,,63,mean,63,860.0,363.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0149,point,48c9026f-11c4-410d-82ec-f33d477d9db6,,38,mean,38,556.5,922.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0150,point,48c9026f-11c4-410d-82ec-f33d477d9db6,,98,mean,98,383.5,780.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0151,point,48c9026f-11c4-410d-82ec-f33d477d9db6,,174,mean,174,116.5,52.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0152,point,48c9026f-11c4-410d-82ec-f33d477d9db6,,180,mean,180,102.0,82.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0153,point,48c9026f-11c4-410d-82ec-f33d477d9db6,,233,mean,233,417.5,898.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0154,point,48c9026f-11c4-410d-82ec-f33d477d9db6,,249,mean,249,374.5,701.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0155,point,511a396b-aa38-4056-a980-76723ed0c05f,,66,mean,66,458.0,1685.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0156,point,511a396b-aa38-4056-a980-76723ed0c05f,,86,mean,86,95.0,1324.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0157,point,511a396b-aa38-4056-a980-76723ed0c05f,,116,mean,116,406.0,588.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0158,point,511a396b-aa38-4056-a980-76723ed0c05f,,131,mean,131,670.5,689.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0159,point,511a396b-aa38-4056-a980-76723ed0c05f,,150,mean,150,1067.5,1179.0,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0160,point,511a396b-aa38-4056-a980-76723ed0c05f,,158,mean,158,876.5,502.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
D0161,point,57660e2f-8425-445f-bca0-17c6e557f1b0,,27,mean,27,583.5,1018.5,resolved,pixel mean of Ivan and Daria clicks (disclosed mean rule),Ivan Syniuk
