session_id,reference_frame,plan_index,phase_label
b95e3543-d28d-49db-be02-bbee7efb8425,35,4,downswing
b95e3543-d28d-49db-be02-bbee7efb8425,38,5,impact_region
b95e3543-d28d-49db-be02-bbee7efb8425,41,6,follow_through
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,0,1,backswing
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,17,2,backswing
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,32,3,downswing
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,39,4,downswing
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,43,5,impact_region
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,47,6,follow_through
e940142a-d4bc-4cee-a6de-828b05ab40a7,1,1,backswing
e940142a-d4bc-4cee-a6de-828b05ab40a7,25,2,backswing
e940142a-d4bc-4cee-a6de-828b05ab40a7,34,3,downswing
e940142a-d4bc-4cee-a6de-828b05ab40a7,39,4,downswing
e940142a-d4bc-4cee-a6de-828b05ab40a7,43,5,impact_region
e940142a-d4bc-4cee-a6de-828b05ab40a7,49,6,follow_through
eb859af6-2991-42e4-9345-05d3baf63c6e,2,1,backswing
eb859af6-2991-42e4-9345-05d3baf63c6e,111,2,backswing
eb859af6-2991-42e4-9345-05d3baf63c6e,170,3,downswing
eb859af6-2991-42e4-9345-05d3baf63c6e,229,4,downswing
eb859af6-2991-42e4-9345-05d3baf63c6e,247,5,follow_through
eb859af6-2991-42e4-9345-05d3baf63c6e,265,6,follow_through
f0647c16-5b92-48b6-a06a-d05d86fe8145,9,1,backswing
f0647c16-5b92-48b6-a06a-d05d86fe8145,35,2,backswing
f0647c16-5b92-48b6-a06a-d05d86fe8145,45,3,downswing
f0647c16-5b92-48b6-a06a-d05d86fe8145,54,4,impact_region
f0647c16-5b92-48b6-a06a-d05d86fe8145,58,5,impact_region
f0647c16-5b92-48b6-a06a-d05d86fe8145,63,6,follow_through
57660e2f-8425-445f-bca0-17c6e557f1b0,27,1,backswing
57660e2f-8425-445f-bca0-17c6e557f1b0,113,2,backswing
57660e2f-8425-445f-bca0-17c6e557f1b0,213,3,downswing
57660e2f-8425-445f-bca0-17c6e557f1b0,233,4,downswing
57660e2f-8425-445f-bca0-17c6e557f1b0,265,5,follow_through
57660e2f-8425-445f-bca0-17c6e557f1b0,285,6,follow_through
332a7a76-cfa3-449e-9150-f93050fed050,8,1,backswing
332a7a76-cfa3-449e-9150-f93050fed050,43,2,backswing
332a7a76-cfa3-449e-9150-f93050fed050,53,3,downswing
332a7a76-cfa3-449e-9150-f93050fed050,62,4,impact_region
332a7a76-cfa3-449e-9150-f93050fed050,67,5,follow_through
332a7a76-cfa3-449e-9150-f93050fed050,69,6,follow_through
7473617c-26a8-428f-9ba6-fc51dd7d2156,1,1,backswing
7473617c-26a8-428f-9ba6-fc51dd7d2156,26,2,backswing
7473617c-26a8-428f-9ba6-fc51dd7d2156,47,3,downswing
7473617c-26a8-428f-9ba6-fc51dd7d2156,59,4,impact_region
7473617c-26a8-428f-9ba6-fc51dd7d2156,63,5,impact_region
7473617c-26a8-428f-9ba6-fc51dd7d2156,67,6,follow_through
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,3,1,backswing
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,26,2,backswing
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,36,3,downswing
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,43,4,impact_region
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,45,5,impact_region
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,50,6,follow_through
82b83897-42aa-447f-82ea-5e471706e7c5,3,1,backswing
82b83897-42aa-447f-82ea-5e471706e7c5,27,2,backswing
82b83897-42aa-447f-82ea-5e471706e7c5,41,3,downswing
82b83897-42aa-447f-82ea-5e471706e7c5,50,4,impact_region
82b83897-42aa-447f-82ea-5e471706e7c5,53,5,impact_region
82b83897-42aa-447f-82ea-5e471706e7c5,57,6,follow_through
dfd57aa0-581d-4580-bc43-2a329277309b,58,1,backswing
dfd57aa0-581d-4580-bc43-2a329277309b,110,2,backswing
dfd57aa0-581d-4580-bc43-2a329277309b,154,3,downswing
dfd57aa0-581d-4580-bc43-2a329277309b,179,4,downswing
dfd57aa0-581d-4580-bc43-2a329277309b,187,5,follow_through
dfd57aa0-581d-4580-bc43-2a329277309b,197,6,follow_through
ed241630-f662-4957-b17f-1f485cf04683,1,1,backswing
ed241630-f662-4957-b17f-1f485cf04683,33,2,backswing
ed241630-f662-4957-b17f-1f485cf04683,55,3,backswing
ed241630-f662-4957-b17f-1f485cf04683,67,4,impact_region
ed241630-f662-4957-b17f-1f485cf04683,68,5,impact_region
ed241630-f662-4957-b17f-1f485cf04683,73,6,follow_through
ba749048-28f5-497e-8d85-fcbcfedb6f8c,64,1,backswing
ba749048-28f5-497e-8d85-fcbcfedb6f8c,116,2,backswing
ba749048-28f5-497e-8d85-fcbcfedb6f8c,143,3,downswing
ba749048-28f5-497e-8d85-fcbcfedb6f8c,147,4,impact_region
ba749048-28f5-497e-8d85-fcbcfedb6f8c,159,5,follow_through
ba749048-28f5-497e-8d85-fcbcfedb6f8c,173,6,follow_through
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,59,1,backswing
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,90,2,backswing
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,127,3,backswing
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,145,4,impact_region
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,148,5,impact_region
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,160,6,follow_through
511a396b-aa38-4056-a980-76723ed0c05f,66,1,backswing
511a396b-aa38-4056-a980-76723ed0c05f,86,2,backswing
511a396b-aa38-4056-a980-76723ed0c05f,116,3,backswing
511a396b-aa38-4056-a980-76723ed0c05f,131,4,downswing
511a396b-aa38-4056-a980-76723ed0c05f,150,5,follow_through
511a396b-aa38-4056-a980-76723ed0c05f,158,6,follow_through
48c9026f-11c4-410d-82ec-f33d477d9db6,38,1,backswing
48c9026f-11c4-410d-82ec-f33d477d9db6,98,2,backswing
48c9026f-11c4-410d-82ec-f33d477d9db6,174,3,backswing
48c9026f-11c4-410d-82ec-f33d477d9db6,180,4,downswing
48c9026f-11c4-410d-82ec-f33d477d9db6,233,5,downswing
48c9026f-11c4-410d-82ec-f33d477d9db6,249,6,follow_through
