disagreement_id,kind,session_id,event_name,reference_frame,plan_index,phase_label,annotator_a,annotator_b,round_a,round_b,frame_a,time_s_a,frame_b,time_s_b,x_a,y_a,x_b,y_b,frame_abs_diff,pixel_distance,match_status,needs_adjudication
D0080,event,dfd57aa0-581d-4580-bc43-2a329277309b,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,149,4.96667,126,4.2,,,,,23.0,,both,yes
D0081,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,0,0.0,0,0.0,,,,,0.0,,both,optional
D0082,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,32,0.64,26,0.52,,,,,6.0,,both,yes
D0083,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,42,0.84,48,0.96,,,,,6.0,,both,yes
D0084,event,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,30,0.6,25,0.5,,,,,5.0,,both,yes
D0085,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,1,0.02,0,0.0,,,,,1.0,,both,yes
D0086,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,34,0.68,32,0.64,,,,,2.0,,both,yes
D0087,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,44,0.88,44,0.88,,,,,0.0,,both,optional
D0088,event,e940142a-d4bc-4cee-a6de-828b05ab40a7,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,32,0.64,29,0.58,,,,,3.0,,both,yes
D0089,event,eb859af6-2991-42e4-9345-05d3baf63c6e,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,2,0.06667,2,0.06667,,,,,0.0,,both,optional
D0090,event,eb859af6-2991-42e4-9345-05d3baf63c6e,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,170,5.66667,175,5.83333,,,,,5.0,,both,yes
D0091,event,eb859af6-2991-42e4-9345-05d3baf63c6e,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,242,8.06667,242,8.06667,,,,,0.0,,both,optional
D0092,event,eb859af6-2991-42e4-9345-05d3baf63c6e,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,162,5.4,165,5.5,,,,,3.0,,both,yes
D0093,event,ed241630-f662-4957-b17f-1f485cf04683,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,1,0.02,10,0.2,,,,,9.0,,both,yes
D0094,event,ed241630-f662-4957-b17f-1f485cf04683,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,59,1.18,62,1.24,,,,,3.0,,both,yes
D0095,event,ed241630-f662-4957-b17f-1f485cf04683,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,68,1.36,64,1.28,,,,,4.0,,both,yes
D0096,event,ed241630-f662-4957-b17f-1f485cf04683,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,55,1.1,59,1.18,,,,,4.0,,both,yes
D0097,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,9,0.18,10,0.2,,,,,1.0,,both,yes
D0098,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,45,0.9,55,1.1,,,,,10.0,,both,yes
D0099,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,56,1.12,56,1.12,,,,,0.0,,both,optional
D0100,event,f0647c16-5b92-48b6-a06a-d05d86fe8145,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,43,0.86,54,1.08,,,,,11.0,,both,yes
D0101,point,2850af90-f8fc-4050-a178-b659098e69df,,33,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,33,,33,,384.0,642.0,396.0,694.0,0.0,53.36665625650534,both,yes
D0102,point,2850af90-f8fc-4050-a178-b659098e69df,,44,2,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,44,,44,,51.0,416.0,27.0,476.0,0.0,64.62197768561404,both,yes
D0103,point,2850af90-f8fc-4050-a178-b659098e69df,,52,3,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,52,,52,,153.0,408.0,272.0,283.0,0.0,172.58621034138272,both,yes
D0104,point,2850af90-f8fc-4050-a178-b659098e69df,,56,4,downswing,Ivan Syniuk,Daria Plokhotniuk,1,1,56,,56,,90.0,364.0,46.0,383.0,0.0,47.92702786528704,both,yes
D0105,point,2850af90-f8fc-4050-a178-b659098e69df,,59,5,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,59,,59,,387.0,651.0,336.0,564.0,0.0,100.84641788382967,both,yes
D0106,point,2850af90-f8fc-4050-a178-b659098e69df,,63,6,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,63,,63,,140.0,381.0,94.0,397.0,0.0,48.703182647543684,both,yes
D0107,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,100,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,100,,100,,893.0,1864.0,916.0,1883.0,0.0,29.832867780352597,both,yes
D0108,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,107,2,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,107,,107,,379.0,1491.0,333.0,1505.0,0.0,48.08326112068523,both,yes
D0109,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,122,3,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,122,,122,,264.0,853.0,184.0,1007.0,0.0,173.5396208362805,both,yes
D0110,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,123,4,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,123,,123,,301.0,896.0,323.0,868.0,0.0,35.608987629529715,both,yes
D0111,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,132,5,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,132,,132,,723.0,1472.0,625.0,1668.0,0.0,219.1346617949794,both,yes
D0112,point,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,,134,6,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,134,,134,,75.0,597.0,12.0,586.0,0.0,63.953107821277925,both,yes
D0113,point,32fec03e-0046-4581-885b-ef0d7f174e53,,71,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,71,,71,,532.0,871.0,514.0,826.0,0.0,48.46648326421054,both,yes
D0114,point,32fec03e-0046-4581-885b-ef0d7f174e53,,82,2,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,82,,82,,229.0,551.0,191.0,467.0,0.0,92.19544457292888,both,yes
D0115,point,32fec03e-0046-4581-885b-ef0d7f174e53,,89,3,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,89,,89,,245.0,68.0,275.0,234.0,0.0,168.68906307167634,both,yes
D0116,point,32fec03e-0046-4581-885b-ef0d7f174e53,,95,4,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,95,,95,,87.0,308.0,115.0,305.0,0.0,28.160255680657446,both,yes
D0117,point,32fec03e-0046-4581-885b-ef0d7f174e53,,97,5,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,97,,97,,503.0,914.0,507.0,1023.0,0.0,109.07336980216573,both,yes
D0118,point,32fec03e-0046-4581-885b-ef0d7f174e53,,99,6,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,99,,99,,478.0,574.0,469.0,593.0,0.0,21.02379604162864,both,yes
D0119,point,332a7a76-cfa3-449e-9150-f93050fed050,,8,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,8,,8,,1262.0,1002.0,1266.0,936.0,0.0,66.12110101926616,both,yes
D0120,point,332a7a76-cfa3-449e-9150-f93050fed050,,43,2,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,43,,43,,580.0,159.0,596.0,183.0,0.0,28.844410203711913,both,yes
D0121,point,332a7a76-cfa3-449e-9150-f93050fed050,,53,3,downswing,Ivan Syniuk,Daria Plokhotniuk,1,1,53,,53,,693.0,320.0,588.0,199.0,0.0,160.20611723651504,both,yes
D0122,point,332a7a76-cfa3-449e-9150-f93050fed050,,62,4,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,62,,62,,1251.0,1005.0,1314.0,1027.0,0.0,66.73080248281148,both,yes
D0123,point,332a7a76-cfa3-449e-9150-f93050fed050,,67,5,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,67,,67,,912.0,572.0,1070.0,491.0,0.0,177.55280904564702,both,yes
D0124,point,332a7a76-cfa3-449e-9150-f93050fed050,,69,6,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,69,,69,,525.0,70.0,494.0,2.0,0.0,74.73285756613352,both,yes
D0125,point,36b05de8-5e98-425f-8b72-8e505337e150,,1,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,1,,1,,989.0,1685.0,988.0,1595.0,0.0,90.00555538409837,both,yes
D0126,point,36b05de8-5e98-425f-8b72-8e505337e150,,61,2,downswing,Ivan Syniuk,Daria Plokhotniuk,1,1,61,,61,,269.0,955.0,247.0,959.0,0.0,22.360679774997898,both,yes
D0127,point,36b05de8-5e98-425f-8b72-8e505337e150,,69,3,downswing,Ivan Syniuk,Daria Plokhotniuk,1,1,69,,69,,984.0,1672.0,1079.0,1795.0,0.0,155.4155719353759,both,yes
D0128,point,36b05de8-5e98-425f-8b72-8e505337e150,,73,4,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,73,,73,,979.0,1669.0,1003.0,1707.0,0.0,44.94441010848846,both,yes
D0129,point,36b05de8-5e98-425f-8b72-8e505337e150,,80,5,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,80,,80,,227.0,739.0,383.0,640.0,0.0,184.76200908195386,both,yes
D0130,point,36b05de8-5e98-425f-8b72-8e505337e150,,83,6,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,83,,83,,464.0,784.0,457.0,831.0,0.0,47.51841748206689,both,yes
D0131,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,59,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,59,,59,,541.0,1627.0,505.0,1714.0,0.0,94.15412895885129,both,yes
D0132,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,90,2,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,90,,90,,40.0,1221.0,39.0,1200.0,0.0,21.02379604162864,both,yes
D0133,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,127,3,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,127,,127,,664.0,659.0,728.0,581.0,0.0,100.89598604503551,both,yes
D0134,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,145,4,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,145,,145,,203.0,1512.0,174.0,1512.0,0.0,29.0,both,yes
D0135,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,148,5,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,148,,148,,811.0,1576.0,788.0,1683.0,0.0,109.4440496326776,both,yes
D0136,point,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,,160,6,follow_through,Ivan Syniuk,Daria Plokhotniuk,1,1,160,,160,,859.0,539.0,810.0,537.0,0.0,49.040799340956916,both,yes
D0137,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,1,1,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,1,,1,,1197.0,903.0,1169.0,978.0,0.0,80.05623023850174,both,yes
D0138,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,17,2,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,17,,17,,496.0,81.0,523.0,100.0,0.0,33.015148038438355,both,yes
D0139,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,26,3,backswing,Ivan Syniuk,Daria Plokhotniuk,1,1,26,,26,,688.0,200.0,784.0,55.0,0.0,173.89939620366712,both,yes
D0140,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,36,4,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,36,,36,,880.0,730.0,904.0,741.0,0.0,26.40075756488817,both,yes
D0141,point,3d47c3b9-21d9-4794-995d-52804115fb8b,,37,5,impact_region,Ivan Syniuk,Daria Plokhotniuk,1,1,37,,37,,1197.0,948.0,1117.0,1052.0,0.0,131.20975573485381,both,yes
